State,Region,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Massachusetts,New England,391272.9,410187.5,426013.2,444478.2,455653.3,473052,503178.5,519143.5,539973.4,570464.2,596593.1
Michigan,Great Lakes,365552.7,386629.8,401069.1,418742.3,433755.8,448572.1,473149.5,488962.6,501914.9,521803.4,536888.3
Minnesota,Plains,260513.1,272636,285408.1,296272.5,308784.5,322690.2,333065.8,341696.3,353416.4,371929.7,383777
Mississippi,Southeast,93502.9,95265.4,96408.1,99616.3,101474.2,103519.8,105427.9,106492.9,109431.1,113578.5,115971.3
Missouri,Plains,251402.6,257897.4,259645,268861.9,277394.2,284237.2,293938.3,297752.6,305471.4,317949.1,328400.6
Montana,Rocky Mountain,36031.8,38103.2,40616.4,42041.6,43136.8,44608.4,46269.3,45680.3,47946.9,50692.3,52934.6
Nebraska,Plains,87107.4,91785.5,99954.2,102605.3,106516.8,111386.8,115663.9,116879.2,120949.7,124705.4,130011.8
Nevada,Far West,120987.7,123652.3,126675.6,127789.1,130686.6,134518.4,143554,150287.3,158502.8,169179.6,178199.4
New Hampshire,New England,61908.9,64170.7,65449.6,67635.7,69495.5,72304.4,75832,78509,80838.4,84584.1,87634.1
New Jersey,Mideast,486209.5,494977.8,498959.3,519569,537346.4,545465.3,569116.5,581504.4,590696.6,612979.3,634783.6
New Mexico,Southwest,81990.3,84037.9,86683.3,87644.8,88533,92586.3,91322,91240.2,94456.7,100079.9,105143.4
New York,Mideast,1150993.9,1212485.1,1237277.6,1323400.8,1361962.9,1425724.1,1485620.8,1545987.7,1608890.2,1705010.2,1772260.7
North Carolina,Southeast,406832.9,415710,426569.3,439539.7,455266.8,476260.2,502808.4,520356.6,541040.7,567451.7,591600.9
North Dakota,Plains,32239.7,35689.4,41437.5,51624.6,53733.4,58679.9,55069.1,50792.3,52607.1,56286.8,57180.9
Ohio,Great Lakes,478023.5,496457.7,523355,540882.4,560936.8,592876.2,609321.7,621542.6,642351.4,675029.7,695361.6
Oklahoma,Southwest,145858.2,153215.1,165091.4,173238.8,181858.2,193546.4,184140.4,177813,185485.6,198595.8,202036.1
Oregon,Far West,160574.9,163827,170620.6,174427.6,179389.5,188777.5,202718.6,214617.5,227042.2,241978.1,253623.2
Pennsylvania,Mideast,576963.5,599025.1,618555.4,640663.1,663334.5,691173.2,711787.2,726884.5,745140.8,778374.6,808737.5
Rhode Island,New England,47906.6,49472.4,50169.8,51607.4,52797.5,54297.7,56560.7,57529.4,58117.2,59924.6,61883.8
South Carolina,Southeast,159911.4,163844,170077.9,175328.5,182837,191981.5,204000.4,213584.6,223414,235286.9,247543.8
South Dakota,Plains,36341.5,37709.2,41690.2,43550.7,44956.5,46369.9,47630.5,48731.3,50342.9,53239,54940.9
Tennessee,Southeast,250379.4,255696.1,267487.6,283482,293265.3,303788.8,323658.5,334435.7,346283,362737.1,376582.4
Texas,Southwest,1162971.8,1237304,1331138.4,1410447.8,1500554.3,1568070.8,1564374.3,1567687.1,1665428,1795635.1,1843802.7
Utah,Rocky Mountain,113517.8,118098.3,124689.9,128764.2,134529.5,141528,148917.8,157442.7,167613.4,181622.7,192519.2
Vermont,New England,25870.7,27113.3,28134.6,28893.6,28966,29690.7,30663.7,31430.4,32040.7,32981,34013.4
Virginia,Southeast,409441.9,423563.9,433009.6,445120.7,455166.9,464514.4,484530.8,496570.2,511876.3,533510.4,556905.2
Washington,Far West,353705.5,365799.7,379796.4,400623.3,419671.3,442930,471702.8,493634.5,527707.5,575416.7,612996.5
West Virginia,Southeast,63032.5,65304.7,68446.8,69335.6,70998.6,71769.1,70815.9,70006.2,72853.1,77632.5,78863.9
Wisconsin,Great Lakes,245518.6,254615.2,264166.4,274540.5,281832.6,293836.7,306498.9,313440.2,320610,337553.1,349416.5
Wyoming,Rocky Mountain,36085.6,37442.6,39415.2,38437.7,38943,39431.7,37860.7,35704,37271.2,39703.2,40420.1
